Year,Candidate,Party,State,Votes,Pct
1952,"Stevenson, Adlai",Democratic,Alaska,0,0
1952,"Eisenhower, Dwight",Republican,Alaska,0,0
1948,Total,Total,Alaska,0,0
1948,"Truman, Harry",Democratic,Alaska,0,0
1948,"Dewey, Thomas",Republican,Alaska,0,0
1948,"Thurmond, Strom","States' Rights ""Dixiecrat""",Alaska,0,0
1948,"Wallace, Henry",Progressive,Alaska,0,0
1944,Total,Total,Alaska,0,0
1944,"Roosevelt, Franklin (FDR)",Democratic,Alaska,0,0
1944,"Dewey, Thomas",Republican,Alaska,0,0
1940,Total,Total,Alaska,0,0
1940,"Roosevelt, Franklin (FDR)",Democratic,Alaska,0,0
1940,"Wilkie, Wendell",Republican,Alaska,0,0
1936,Total,Total,Alaska,0,0
1936,"Roosevelt, Franklin (FDR)",Democratic,Alaska,0,0
1936,"Landon, Alf",Republican,Alaska,0,0
1932,Total,Total,Alaska,0,0
1932,"Roosevelt, Franklin (FDR)",Democratic,Alaska,0,0
1932,"Hoover, Herbert",Republican,Alaska,0,0
1932,"Thomas, Norman",Socialist,Alaska,0,0
1928,Total,Total,Alaska,0,0
1928,"Smith, Al",Democratic,Alaska,0,0
1928,"Hoover, Herbert",Republican,Alaska,0,0
1924,Total,Total,Alaska,0,0
1924,"Davis, John",Democratic,Alaska,0,0
1924,"Coolidge, Calvin",Republican,Alaska,0,0
1924,"LaFollette, Robert",Progressive,Alaska,0,0
1920,Total,Total,Alaska,0,0
1920,"Cox, John",Democratic,Alaska,0,0
1920,"Harding, Warren",Republican,Alaska,0,0
1920,"Debs, Eugene",Socialist,Alaska,0,0
1916,Total,Total,Alaska,0,0
1916,"Wilson, Woodrow",Democratic,Alaska,0,0
1916,"Hughes, Charles",Republican,Alaska,0,0
1916,"Benson, Allan",Socialist,Alaska,0,0
1912,Total,Total,Alaska,0,0
1912,"Wilson, Woodrow",Democratic,Alaska,0,0
1912,"Taft, William",Republican,Alaska,0,0
1912,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Alaska,0,0
1912,"Debs, Eugene",Socialist,Alaska,0,0
1908,Total,Total,Alaska,0,0
1908,"Bryan, William",Democratic,Alaska,0,0
1908,"Taft, William",Republican,Alaska,0,0
1908,"Debs, Eugene",Socialist,Alaska,0,0
1904,Total,Total,Alaska,0,0
