Year,Candidate,Party,State,Votes
1836,Total,Total,Iowa,
,"Van Buren, Martin",Democratic,Iowa,
,"Harrison, William",Whig,Iowa,
,"White, Hugh",Whig,Iowa,
,"Webster, Daniel",Whig,Iowa,
1832,Total,Total,Iowa,
,"Jackson, Andrew",Democratic,Iowa,
,"Clay, Henry",National Republican,Iowa,
,"Wirt, William",Anti-Masonic,Iowa,
1828,Total,Total,Iowa,
,"Jackson, Andrew",Democratic,Iowa,
,"Adams, John Quincy",National Republican,Iowa,
2016,Total,Total,Kansas,1194755
,"Clinton, Hillary",Democratic,Kansas,427005
,"Trump, Donald",Republican,Kansas,671018
,"Johnson, Gary",Libertarian,Kansas,55406
2012,Total,Total,Kansas,1156254
,"Obama, Barack",Democratic,Kansas,439908
,"Romney, Mitt",Republican,Kansas,689809
2008,Total,Total,Kansas,1238873
,"Obama, Barack",Democratic,Kansas,514765
,"McCain, John",Republican,Kansas,699655
2004,Total,Total,Kansas,1187756
,"Kerry, John",Democratic,Kansas,434993
,"Bush, George W.",Republican,Kansas,736456
2000,Total,Total,Kansas,1072216
,"Gore, Al",Democratic,Kansas,399276
,"Bush, George W.",Republican,Kansas,622332
,"Nader, Ralph",Green,Kansas,36086
1996,Total,Total,Kansas,1074300
,"Clinton, Bill",Democratic,Kansas,387659
,"Dole, Bob",Republican,Kansas,583245
,"Perot, Ross",Reform,Kansas,92639
1992,Total,Total,Kansas,1157236
,"Clinton, Bill",Democratic,Kansas,390434
,"Bush, George H.W.",Republican,Kansas,449951
,"Perot, Ross",Independent,Kansas,312358
1988,Total,Total,Kansas,993044
,"Dukakis, Michael",Democratic,Kansas,422636
,"Bush, George H.W.",Republican,Kansas,554049
1984,Total,Total,Kansas,1021991
,"Mondale, Walter",Democratic,Kansas,333149
,"Reagan, Ronald",Republican,Kansas,677296
1980,Total,Total,Kansas,979795
,"Carter, Jimmy",Democratic,Kansas,326150
,"Reagan, Ronald",Republican,Kansas,566812
,"Anderson, John",Independent,Kansas,68231
1976,Total,Total,Kansas,957845
,"Carter, Jimmy",Democratic,Kansas,430421
,"Ford, Gerald",Republican,Kansas,502752
1972,Total,Total,Kansas,916095
,"McGovern, George",Democratic,Kansas,270287
,"Nixon, Richard",Republican,Kansas,619812
1968,Total,Total,Kansas,872783
,"Humphrey, Hubert",Democratic,Kansas,302996
,"Nixon, Richard",Republican,Kansas,478674
,"Wallace, George",American Independent,Kansas,88921
1964,Total,Total,Kansas,857901
,"Johnson, Lyndon (LBJ)",Democratic,Kansas,464028
,"Goldwater, Barry",Republican,Kansas,386579
1960,Total,Total,Kansas,928825
,"Kennedy, Jack (JFK)",Democratic,Kansas,363213
,"Nixon, Richard",Republican,Kansas,561474
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Kansas,4138
1956,Total,Total,Kansas,866243
,"Stevenson, Adlai",Democratic,Kansas,296317
,"Eisenhower, Dwight",Republican,Kansas,566878
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Kansas,3048
1952,Total,Total,Kansas,896166
,"Stevenson, Adlai",Democratic,Kansas,273296
,"Eisenhower, Dwight",Republican,Kansas,616302
1948,Total,Total,Kansas,788819
,"Truman, Harry",Democratic,Kansas,351902
,"Dewey, Thomas",Republican,Kansas,423039
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Kansas,0
,"Wallace, Henry",Progressive,Kansas,4603
1944,Total,Total,Kansas,733776
,"Roosevelt, Franklin (FDR)",Democratic,Kansas,287458
,"Dewey, Thomas",Republican,Kansas,442096
1940,Total,Total,Kansas,860297
,"Roosevelt, Franklin (FDR)",Democratic,Kansas,364725
,"Wilkie, Wendell",Republican,Kansas,489169
1936,Total,Total,Kansas,865514
,"Roosevelt, Franklin (FDR)",Democratic,Kansas,464520
,"Landon, Alf",Republican,Kansas,397727
1932,Total,Total,Kansas,791978
,"Roosevelt, Franklin (FDR)",Democratic,Kansas,424204
,"Hoover, Herbert",Republican,Kansas,349498
,"Thomas, Norman",Socialist,Kansas,18276
1928,Total,Total,Kansas,713200
,"Smith, Al",Democratic,Kansas,193003
,"Hoover, Herbert",Republican,Kansas,513672
1924,Total,Total,Kansas,662454
,"Davis, John",Democratic,Kansas,156319
,"Coolidge, Calvin",Republican,Kansas,407671
,"LaFollette, Robert",Progressive,Kansas,98461
1920,Total,Total,Kansas,570318
,"Cox, John",Democratic,Kansas,185464
,"Harding, Warren",Republican,Kansas,369268
,"Debs, Eugene",Socialist,Kansas,15511
1916,Total,Total,Kansas,629813
,"Wilson, Woodrow",Democratic,Kansas,314588
,"Hughes, Charles",Republican,Kansas,277658
,"Benson, Allan",Socialist,Kansas,24685
1912,Total,Total,Kansas,365560
,"Wilson, Woodrow",Democratic,Kansas,143663
,"Taft, William",Republican,Kansas,74845
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Kansas,120210
,"Debs, Eugene",Socialist,Kansas,26779
1908,Total,Total,Kansas,375946
,"Bryan, William",Democratic,Kansas,161209
,"Taft, William",Republican,Kansas,197216
,"Debs, Eugene",Socialist,Kansas,12420
1904,Total,Total,Kansas,328561
,"Parker, Alton",Democratic,Kansas,86174
,"Roosevelt, Theodore (Teddy)",Republican,Kansas,212955
,"Debs, Eugene",Socialist,Kansas,15869
1900,Total,Total,Kansas,353766
,"Bryan, William",Democratic,Kansas,162601
,"McKinley, William",Republican,Kansas,185955
1896,Total,Total,Kansas,334547
,"Bryan, William",Democratic,Kansas,171675
,"McKinley, William",Republican,Kansas,159345
1892,Total,Total,Kansas,324905
,"Cleveland, Grover",Democratic,Kansas,0
,"Harrison, Benjamin",Republican,Kansas,157241
,"Weaver, James",Populist,Kansas,163111
1888,Total,Total,Kansas,331149
,"Cleveland, Grover",Democratic,Kansas,102745
,"Harrison, Benjamin",Republican,Kansas,182904
1884,Total,Total,Kansas,265848
,"Cleveland, Grover",Democratic,Kansas,90132
,"Blaine, James",Republican,Kansas,154406
1880,Total,Total,Kansas,201236
,"Hancock, Winfield",Democratic,Kansas,59801
,"Garfield, James",Republican,Kansas,121549
,"Weaver, James",Greenback,Kansas,19851
1876,Total,Total,Kansas,124134
,"Tilden, Samuel",Democratic,Kansas,37902
,"Hayes, Rutherford",Republican,Kansas,78324
1872,Total,Total,Kansas,100512
,"Greeley, Horace",Liberal Republican/Democratic,Kansas,32970
,"Grant, Ulysses",Republican,Kansas,66805
1868,Total,Total,Kansas,43630
,"Seymour, Horatio",Democratic,Kansas,13600
,"Grant, Ulysses",Republican,Kansas,30027
1864,Total,Total,Kansas,21580
,"McClellan, George",Democratic,Kansas,3836
,"Lincoln, Abraham",National Union (Republican),Kansas,17089
1860,Total,Total,Kansas,
,"Douglas, Stephen",(Northern) Democratic,Kansas,
,"Lincoln, Abraham",Republican,Kansas,
,"Breckinridge, John",Southern Democratic,Kansas,
,"Bell, John",Constitutional Union,Kansas,
1856,Total,Total,Kansas,
,"Buchanan, James",Democratic,Kansas,
,"Fremont, John",Republican,Kansas,
,"Fillmore, Millard","Fillmore, Millard",Kansas,
1852,Total,Total,Kansas,
,"Pierce, Franklin",Democratic,Kansas,
,"Scott, Winfield",Whig,Kansas,
,"Hale, John",Free Soil,Kansas,
1848,Total,Total,Kansas,
,"Cass, Lewis",Democratic,Kansas,
,"Taylor, Zachary",Whig,Kansas,
,"Van Buren, Martin",Free Soil,Kansas,
1844,Total,Total,Kansas,
,"Polk, James",Democratic,Kansas,
,"Clay, Henry",Whig,Kansas,
,"Birney, James",Liberty,Kansas,
1840,Total,Total,Kansas,
,"Van Buren, Martin",Democratic,Kansas,
,"Harrison, William",Whig,Kansas,
1836,Total,Total,Kansas,
,"Van Buren, Martin",Democratic,Kansas,
,"Harrison, William",Whig,Kansas,
,"White, Hugh",Whig,Kansas,
,"Webster, Daniel",Whig,Kansas,
1832,Total,Total,Kansas,
,"Jackson, Andrew",Democratic,Kansas,
,"Clay, Henry",National Republican,Kansas,
,"Wirt, William",Anti-Masonic,Kansas,
1828,Total,Total,Kansas,
,"Jackson, Andrew",Democratic,Kansas,
,"Adams, John Quincy",National Republican,Kansas,
2016,Total,Total,Kentucky,1924149
,"Clinton, Hillary",Democratic,Kentucky,628854
,"Trump, Donald",Republican,Kentucky,1202971
,"Johnson, Gary",Libertarian,Kentucky,53752
2012,Total,Total,Kentucky,1798048
,"Obama, Barack",Democratic,Kentucky,679370
,"Romney, Mitt",Republican,Kentucky,1087190
2008,Total,Total,Kentucky,1827587
,"Obama, Barack",Democratic,Kentucky,751985
,"McCain, John",Republican,Kentucky,1048462
2004,Total,Total,Kentucky,1796079
,"Kerry, John",Democratic,Kentucky,712733
,"Bush, George W.",Republican,Kentucky,1069439
2000,Total,Total,Kentucky,1544187
,"Gore, Al",Democratic,Kentucky,638898
,"Bush, George W.",Republican,Kentucky,872492
,"Nader, Ralph",Green,Kentucky,23192
1996,Total,Total,Kentucky,1388708
,"Clinton, Bill",Democratic,Kentucky,636614
,"Dole, Bob",Republican,Kentucky,623283
,"Perot, Ross",Reform,Kentucky,120396
1992,Total,Total,Kentucky,1492900
,"Clinton, Bill",Democratic,Kentucky,665104
,"Bush, George H.W.",Republican,Kentucky,617178
,"Perot, Ross",Independent,Kentucky,203944
1988,Total,Total,Kentucky,1322517
,"Dukakis, Michael",Democratic,Kentucky,580368
,"Bush, George H.W.",Republican,Kentucky,734281
1984,Total,Total,Kentucky,1370461
,"Mondale, Walter",Democratic,Kentucky,539589
,"Reagan, Ronald",Republican,Kentucky,822782
1980,Total,Total,Kentucky,1294627
,"Carter, Jimmy",Democratic,Kentucky,616417
,"Reagan, Ronald",Republican,Kentucky,635274
,"Anderson, John",Independent,Kentucky,31127
1976,Total,Total,Kentucky,1167142
,"Carter, Jimmy",Democratic,Kentucky,615717
,"Ford, Gerald",Republican,Kentucky,531852
1972,Total,Total,Kentucky,1067499
,"McGovern, George",Democratic,Kentucky,371159
,"Nixon, Richard",Republican,Kentucky,676446
1968,Total,Total,Kentucky,1055893
,"Humphrey, Hubert",Democratic,Kentucky,397541
,"Nixon, Richard",Republican,Kentucky,462411
,"Wallace, George",American Independent,Kentucky,193098
1964,Total,Total,Kentucky,1046105
,"Johnson, Lyndon (LBJ)",Democratic,Kentucky,669659
,"Goldwater, Barry",Republican,Kentucky,372977
1960,Total,Total,Kentucky,1124462
,"Kennedy, Jack (JFK)",Democratic,Kentucky,521855
,"Nixon, Richard",Republican,Kentucky,602607
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Kentucky,0
1956,Total,Total,Kentucky,1053805
,"Stevenson, Adlai",Democratic,Kentucky,476453
,"Eisenhower, Dwight",Republican,Kentucky,572192
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Kentucky,5160
1952,Total,Total,Kentucky,993148
,"Stevenson, Adlai",Democratic,Kentucky,495729
,"Eisenhower, Dwight",Republican,Kentucky,495029
1948,Total,Total,Kentucky,822658
,"Truman, Harry",Democratic,Kentucky,466756
,"Dewey, Thomas",Republican,Kentucky,341210
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Kentucky,10411
,"Wallace, Henry",Progressive,Kentucky,1567
1944,Total,Total,Kentucky,867921
,"Roosevelt, Franklin (FDR)",Democratic,Kentucky,472589
,"Dewey, Thomas",Republican,Kentucky,392448
1940,Total,Total,Kentucky,970163
,"Roosevelt, Franklin (FDR)",Democratic,Kentucky,557322
,"Wilkie, Wendell",Republican,Kentucky,410384
1936,Total,Total,Kentucky,926206
,"Roosevelt, Franklin (FDR)",Democratic,Kentucky,541944
,"Landon, Alf",Republican,Kentucky,369702
1932,Total,Total,Kentucky,983063
,"Roosevelt, Franklin (FDR)",Democratic,Kentucky,580574
,"Hoover, Herbert",Republican,Kentucky,394716
,"Thomas, Norman",Socialist,Kentucky,3853
1928,Total,Total,Kentucky,941274
,"Smith, Al",Democratic,Kentucky,381070
,"Hoover, Herbert",Republican,Kentucky,558734
1924,Total,Total,Kentucky,815332
,"Davis, John",Democratic,Kentucky,374855
,"Coolidge, Calvin",Republican,Kentucky,398966
,"LaFollette, Robert",Progressive,Kentucky,38465
1920,Total,Total,Kentucky,918636
,"Cox, John",Democratic,Kentucky,456497
,"Harding, Warren",Republican,Kentucky,452480
,"Debs, Eugene",Socialist,Kentucky,6409
1916,Total,Total,Kentucky,520075
,"Wilson, Woodrow",Democratic,Kentucky,269990
,"Hughes, Charles",Republican,Kentucky,241854
,"Benson, Allan",Socialist,Kentucky,4734
1912,Total,Total,Kentucky,452714
,"Wilson, Woodrow",Democratic,Kentucky,219484
,"Taft, William",Republican,Kentucky,115510
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Kentucky,101766
,"Debs, Eugene",Socialist,Kentucky,11646
1908,Total,Total,Kentucky,490719
,"Bryan, William",Democratic,Kentucky,244092
,"Taft, William",Republican,Kentucky,235711
,"Debs, Eugene",Socialist,Kentucky,4093
1904,Total,Total,Kentucky,435946
,"Parker, Alton",Democratic,Kentucky,217170
,"Roosevelt, Theodore (Teddy)",Republican,Kentucky,205457
,"Debs, Eugene",Socialist,Kentucky,3599
1900,Total,Total,Kentucky,468265
,"Bryan, William",Democratic,Kentucky,235126
,"McKinley, William",Republican,Kentucky,227132
1896,Total,Total,Kentucky,445928
,"Bryan, William",Democratic,Kentucky,217894
,"McKinley, William",Republican,Kentucky,218171
1892,Total,Total,Kentucky,340864
,"Cleveland, Grover",Democratic,Kentucky,175461
,"Harrison, Benjamin",Republican,Kentucky,135462
,"Weaver, James",Populist,Kentucky,23500
1888,Total,Total,Kentucky,344868
,"Cleveland, Grover",Democratic,Kentucky,183830
,"Harrison, Benjamin",Republican,Kentucky,155138
1884,Total,Total,Kentucky,276481
,"Cleveland, Grover",Democratic,Kentucky,152961
,"Blaine, James",Republican,Kentucky,118690
1880,Total,Total,Kentucky,267104
,"Hancock, Winfield",Democratic,Kentucky,148875
,"Garfield, James",Republican,Kentucky,106490
,"Weaver, James",Greenback,Kentucky,11506
1876,Total,Total,Kentucky,260626
,"Tilden, Samuel",Democratic,Kentucky,160060
,"Hayes, Rutherford",Republican,Kentucky,97568
1872,Total,Total,Kentucky,191135
,"Greeley, Horace",Liberal Republican/Democratic,Kentucky,99995
,"Grant, Ulysses",Republican,Kentucky,88766
1868,Total,Total,Kentucky,155455
,"Seymour, Horatio",Democratic,Kentucky,115889
,"Grant, Ulysses",Republican,Kentucky,39566
1864,Total,Total,Kentucky,92088
,"McClellan, George",Democratic,Kentucky,64301
,"Lincoln, Abraham",National Union (Republican),Kentucky,27787
1860,Total,Total,Kentucky,146216
,"Douglas, Stephen",(Northern) Democratic,Kentucky,25651
,"Lincoln, Abraham",Republican,Kentucky,1364
,"Breckinridge, John",Southern Democratic,Kentucky,53143
,"Bell, John",Constitutional Union,Kentucky,66058
1856,Total,Total,Kentucky,142058
,"Buchanan, James",Democratic,Kentucky,74642
,"Fremont, John",Republican,Kentucky,0
,"Fillmore, Millard","Fillmore, Millard",Kentucky,67416
1852,Total,Total,Kentucky,111643
,"Pierce, Franklin",Democratic,Kentucky,53949
,"Scott, Winfield",Whig,Kentucky,57428
,"Hale, John",Free Soil,Kentucky,266
1848,Total,Total,Kentucky,116865
,"Cass, Lewis",Democratic,Kentucky,49720
,"Taylor, Zachary",Whig,Kentucky,67145
,"Van Buren, Martin",Free Soil,Kentucky,0
1844,Total,Total,Kentucky,113237
,"Polk, James",Democratic,Kentucky,51988
,"Clay, Henry",Whig,Kentucky,61249
,"Birney, James",Liberty,Kentucky,0
1840,Total,Total,Kentucky,91104
,"Van Buren, Martin",Democratic,Kentucky,32616
,"Harrison, William",Whig,Kentucky,58488
1836,Total,Total,Kentucky,70090
,"Van Buren, Martin",Democratic,Kentucky,33229
,"Harrison, William",Whig,Kentucky,36861
,"White, Hugh",Whig,Kentucky,0
,"Webster, Daniel",Whig,Kentucky,0
1832,Total,Total,Kentucky,79741
,"Jackson, Andrew",Democratic,Kentucky,36292
,"Clay, Henry",National Republican,Kentucky,43449
,"Wirt, William",Anti-Masonic,Kentucky,0
1828,Total,Total,Kentucky,70776
,"Jackson, Andrew",Democratic,Kentucky,39308
,"Adams, John Quincy",National Republican,Kentucky,31468
2016,Total,Total,Louisiana,2029032
,"Clinton, Hillary",Democratic,Louisiana,780154
,"Trump, Donald",Republican,Louisiana,1178638
,"Johnson, Gary",Libertarian,Louisiana,37978
2012,Total,Total,Louisiana,1994065
,"Obama, Barack",Democratic,Louisiana,809141
,"Romney, Mitt",Republican,Louisiana,1152262
2008,Total,Total,Louisiana,1960761
,"Obama, Barack",Democratic,Louisiana,782989
,"McCain, John",Republican,Louisiana,1148275
2004,Total,Total,Louisiana,1943106
,"Kerry, John",Democratic,Louisiana,820299
,"Bush, George W.",Republican,Louisiana,1102169
2000,Total,Total,Louisiana,1765656
,"Gore, Al",Democratic,Louisiana,792344
,"Bush, George W.",Republican,Louisiana,927871
,"Nader, Ralph",Green,Louisiana,20473
1996,Total,Total,Louisiana,1783959
,"Clinton, Bill",Democratic,Louisiana,927837
,"Dole, Bob",Republican,Louisiana,712586
,"Perot, Ross",Reform,Louisiana,123293
1992,Total,Total,Louisiana,1790017
,"Clinton, Bill",Democratic,Louisiana,815971
,"Bush, George H.W.",Republican,Louisiana,733386
,"Perot, Ross",Independent,Louisiana,211478
1988,Total,Total,Louisiana,1628202
,"Dukakis, Michael",Democratic,Louisiana,717460
,"Bush, George H.W.",Republican,Louisiana,883702
1984,Total,Total,Louisiana,1706822
,"Mondale, Walter",Democratic,Louisiana,651586
,"Reagan, Ronald",Republican,Louisiana,1037299
1980,Total,Total,Louisiana,1548591
,"Carter, Jimmy",Democratic,Louisiana,708453
,"Reagan, Ronald",Republican,Louisiana,792853
,"Anderson, John",Independent,Louisiana,26345
1976,Total,Total,Louisiana,1278439
,"Carter, Jimmy",Democratic,Louisiana,661365
,"Ford, Gerald",Republican,Louisiana,587446
1972,Total,Total,Louisiana,1051491
,"McGovern, George",Democratic,Louisiana,298142
,"Nixon, Richard",Republican,Louisiana,686852
1968,Total,Total,Louisiana,1097450
,"Humphrey, Hubert",Democratic,Louisiana,309615
,"Nixon, Richard",Republican,Louisiana,257535
,"Wallace, George",American Independent,Louisiana,530300
1964,Total,Total,Louisiana,896293
,"Johnson, Lyndon (LBJ)",Democratic,Louisiana,387068
,"Goldwater, Barry",Republican,Louisiana,509225
1960,Total,Total,Louisiana,807891
,"Kennedy, Jack (JFK)",Democratic,Louisiana,407339
,"Nixon, Richard",Republican,Louisiana,230980
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Louisiana,169572
1956,Total,Total,Louisiana,617544
,"Stevenson, Adlai",Democratic,Louisiana,243977
,"Eisenhower, Dwight",Republican,Louisiana,329047
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Louisiana,44520
1952,Total,Total,Louisiana,651952
,"Stevenson, Adlai",Democratic,Louisiana,345027
,"Eisenhower, Dwight",Republican,Louisiana,306925
1948,Total,Total,Louisiana,416336
,"Truman, Harry",Democratic,Louisiana,136344
,"Dewey, Thomas",Republican,Louisiana,72657
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Louisiana,204290
,"Wallace, Henry",Progressive,Louisiana,3035
1944,Total,Total,Louisiana,349383
,"Roosevelt, Franklin (FDR)",Democratic,Louisiana,281564
,"Dewey, Thomas",Republican,Louisiana,67750
1940,Total,Total,Louisiana,372305
,"Roosevelt, Franklin (FDR)",Democratic,Louisiana,319751
,"Wilkie, Wendell",Republican,Louisiana,52446
1936,Total,Total,Louisiana,329778
,"Roosevelt, Franklin (FDR)",Democratic,Louisiana,292894
,"Landon, Alf",Republican,Louisiana,36791
1932,Total,Total,Louisiana,268804
,"Roosevelt, Franklin (FDR)",Democratic,Louisiana,249418
,"Hoover, Herbert",Republican,Louisiana,18853
,"Thomas, Norman",Socialist,Louisiana,0
1928,Total,Total,Louisiana,215833
,"Smith, Al",Democratic,Louisiana,164655
,"Hoover, Herbert",Republican,Louisiana,51160
1924,Total,Total,Louisiana,121951
,"Davis, John",Democratic,Louisiana,93218
,"Coolidge, Calvin",Republican,Louisiana,24670
,"LaFollette, Robert",Progressive,Louisiana,0
1920,Total,Total,Louisiana,126396
,"Cox, John",Democratic,Louisiana,87519
,"Harding, Warren",Republican,Louisiana,38538
,"Debs, Eugene",Socialist,Louisiana,0
1916,Total,Total,Louisiana,92982
,"Wilson, Woodrow",Democratic,Louisiana,79875
,"Hughes, Charles",Republican,Louisiana,6466
,"Benson, Allan",Socialist,Louisiana,292
